Date,T_mean
01-01-2024,26.8
02-01-2024,23.7
03-01-2024,25.4
04-01-2024,28.5
05-01-2024,28.5
06-01-2024,28.3
07-01-2024,25.7
08-01-2024,26.5
09-01-2024,27.4
10-01-2024,27.5
11-01-2024,29.35
12-01-2024,30.35
13-01-2024,31.2
14-01-2024,30.35
15-01-2024,26.9
16-01-2024,30
17-01-2024,30.5
18-01-2024,31
19-01-2024,31.75
20-01-2024,31.35
21-01-2024,30.6
22-01-2024,29.9
23-01-2024,30.1
24-01-2024,27.9
25-01-2024,28.75
26-01-2024,30.5
27-01-2024,31.6
28-01-2024,30.75
29-01-2024,30.5
30-01-2024,30.25
31-01-2024,17.5
01-02-2024,17.3
02-02-2024,17.1
03-02-2024,16.9
04-02-2024,16.7
05-02-2024,16.5
06-02-2024,16.3
07-02-2024,16.1
08-02-2024,15.9
09-02-2024,15.7
10-02-2024,15.5
11-02-2024,15.3
12-02-2024,15.1
13-02-2024,14.9
14-02-2024,14.7
15-02-2024,14.5
16-02-2024,14.3
17-02-2024,14.1
18-02-2024,13.9
19-02-2024,13.7
20-02-2024,13.5
21-02-2024,13.3
22-02-2024,13.1
23-02-2024,16.9
24-02-2024,16.55
25-02-2024,16.45
26-02-2024,18.45
27-02-2024,18.65
28-02-2024,18.05
29-02-2024,18.45
01-03-2024,19.2
02-03-2024,22.3
03-03-2024,19.45
04-03-2024,17.85
05-03-2024,16.95
06-03-2024,16.2
07-03-2024,16.2
08-03-2024,18
09-03-2024,18.7
10-03-2024,18.45
11-03-2024,20.85
12-03-2024,22.8
13-03-2024,21.95
14-03-2024,23
15-03-2024,22.15
16-03-2024,19.4
17-03-2024,21.1
18-03-2024,21.5
19-03-2024,21.4
20-03-2024,22.5
21-03-2024,25
22-03-2024,24.05
23-03-2024,24.4
24-03-2024,25.5
25-03-2024,22.8
26-03-2024,25.45
27-03-2024,27
28-03-2024,29.1
29-03-2024,28.75
30-03-2024,29.8
31-03-2024,28.25
01-04-2024,26.8
02-04-2024,23.7
03-04-2024,25.4
04-04-2024,28.5
05-04-2024,28.5
06-04-2024,28.3
07-04-2024,25.7
08-04-2024,26.5
09-04-2024,27.4
10-04-2024,27.5
11-04-2024,29.35
12-04-2024,30.35
13-04-2024,31.2
14-04-2024,30.35
15-04-2024,26.9
16-04-2024,30
19-04-2024,31.75
20-04-2024,31.35
21-04-2024,30.6
22-04-2024,29.9
23-04-2024,30.1
24-04-2024,27.9
25-04-2024,28.75
26-04-2024,30.5
27-04-2024,31.6
28-04-2024,30.75
29-04-2024,30.5
30-04-2024,30.25
01-05-2024,28.75
02-05-2024,26.5
03-05-2024,26.9
04-05-2024,30.65
05-05-2024,31.5
06-05-2024,32.75
07-05-2024,32.45
08-05-2024,34.75
09-05-2024,32.1
10-05-2024,33.25
11-05-2024,31.95
12-05-2024,32.25
13-05-2024,33.65
14-05-2024,32.05
15-05-2024,31.75
16-05-2024,33
17-05-2024,33.95
18-05-2024,35.35
19-05-2024,35.95
20-05-2024,36.8
21-05-2024,37.4
22-05-2024,36.65
23-05-2024,37
24-05-2024,35.9
25-05-2024,36.15
26-05-2024,35.2
27-05-2024,37.3
28-05-2024,36.25
29-05-2024,37.6
30-05-2024,38.6
31-05-2024,37.3
01-06-2024,38
02-06-2024,37.3
03-06-2024,36.5
04-06-2024,37.55
05-06-2024,37.4
06-06-2024,34.3
07-06-2024,34.6
08-06-2024,36.5
09-06-2024,34.2
10-06-2024,35.55
11-06-2024,35.7
12-06-2024,36.15
13-06-2024,37.05
14-06-2024,39.05
15-06-2024,38.2
16-06-2024,38.9
17-06-2024,38.95
