Day,Hour,Irradiance (W/m^2),"Declination Angle (δ, deg)","Noon Solar Altitude Angle (α, deg)","Noon Solar Azimuth Angle (γ, deg)","Latitude (L, deg)",Daily GHI (kWh/m^2/day),Daily I Mean (W/m^2)
1,9,363.86,-23.01,38.38,-0.09,28.61,3.93,485.27
1,10,522.14,-23.01,38.38,-0.09,28.61,3.93,485.27
1,11,630.75,-23.01,38.38,-0.09,28.61,3.93,485.27
1,12,682.27,-23.01,38.38,-0.09,28.61,3.93,485.27
1,13,673.2,-23.01,38.38,-0.09,28.61,3.93,485.27
1,14,604.15,-23.01,38.38,-0.09,28.61,3.93,485.27
1,15,479.84,-23.01,38.38,-0.09,28.61,3.93,485.27
1,16,308.73,-23.01,38.38,-0.09,28.61,3.93,485.27
1,17,102.49,-23.01,38.38,-0.09,28.61,3.93,485.27
2,9,364.89,-22.93,38.46,-0.17,28.61,3.94,486.37
2,10,523.27,-22.93,38.46,-0.17,28.61,3.94,486.37
2,11,631.94,-22.93,38.46,-0.17,28.61,3.94,486.37
2,12,683.49,-22.93,38.46,-0.17,28.61,3.94,486.37
2,13,674.41,-22.93,38.46,-0.17,28.61,3.94,486.37
2,14,605.33,-22.93,38.46,-0.17,28.61,3.94,486.37
2,15,480.94,-22.93,38.46,-0.17,28.61,3.94,486.37
2,16,309.73,-22.93,38.46,-0.17,28.61,3.94,486.37
2,17,103.37,-22.93,38.46,-0.17,28.61,3.94,486.37
3,9,366.01,-22.84,38.55,-0.26,28.61,3.95,487.57
3,10,524.49,-22.84,38.55,-0.26,28.61,3.95,487.57
3,11,633.23,-22.84,38.55,-0.26,28.61,3.95,487.57
3,12,684.81,-22.84,38.55,-0.26,28.61,3.95,487.57
3,13,675.73,-22.84,38.55,-0.26,28.61,3.95,487.57
3,14,606.6,-22.84,38.55,-0.26,28.61,3.95,487.57
3,15,482.14,-22.84,38.55,-0.26,28.61,3.95,487.57
3,16,310.82,-22.84,38.55,-0.26,28.61,3.95,487.57
3,17,104.31,-22.84,38.55,-0.26,28.61,3.95,487.57
4,9,367.21,-22.75,38.64,-0.34,28.61,3.96,488.86
4,10,525.8,-22.75,38.64,-0.34,28.61,3.96,488.86
4,11,634.62,-22.75,38.64,-0.34,28.61,3.96,488.86
4,12,686.24,-22.75,38.64,-0.34,28.61,3.96,488.86
4,13,677.15,-22.75,38.64,-0.34,28.61,3.96,488.86
4,14,607.97,-22.75,38.64,-0.34,28.61,3.96,488.86
4,15,483.42,-22.75,38.64,-0.34,28.61,3.96,488.86
4,16,311.98,-22.75,38.64,-0.34,28.61,3.96,488.86
4,17,105.34,-22.75,38.64,-0.34,28.61,3.96,488.86
5,9,368.5,-22.65,38.74,-0.43,28.61,3.97,490.24
5,10,527.21,-22.65,38.74,-0.43,28.61,3.97,490.24
5,11,636.1,-22.65,38.74,-0.43,28.61,3.97,490.24
5,12,687.76,-22.65,38.74,-0.43,28.61,3.97,490.24
5,13,678.67,-22.65,38.74,-0.43,28.61,3.97,490.24
5,14,609.44,-22.65,38.74,-0.43,28.61,3.97,490.24
5,15,484.79,-22.65,38.74,-0.43,28.61,3.97,490.24
5,16,313.23,-22.65,38.74,-0.43,28.61,3.97,490.24
5,17,106.43,-22.65,38.74,-0.43,28.61,3.97,490.24
6,9,369.87,-22.54,38.85,-0.52,28.61,3.98,491.7
6,10,528.7,-22.54,38.85,-0.52,28.61,3.98,491.7
6,11,637.68,-22.54,38.85,-0.52,28.61,3.98,491.7
6,12,689.38,-22.54,38.85,-0.52,28.61,3.98,491.7
6,13,680.28,-22.54,38.85,-0.52,28.61,3.98,491.7
6,14,611.0,-22.54,38.85,-0.52,28.61,3.98,491.7
6,15,486.26,-22.54,38.85,-0.52,28.61,3.98,491.7
6,16,314.55,-22.54,38.85,-0.52,28.61,3.98,491.7
6,17,107.59,-22.54,38.85,-0.52,28.61,3.98,491.7
7,9,371.33,-22.42,38.97,-0.6,28.61,4.0,493.26
